id,claim,claimed,actual,verdict
F6,strata n 71–101 (max),101.0,101.0,PASS
F7 qwen2.5:7b,Fig2b claim min κ 0.82,0.82,0.82,PASS
F7 glm4:9b,Fig2b claim min κ 0.89,0.89,0.89,PASS
F8,v3 all years min κ=0.84,0.84,0.84,PASS
N1,2022 definition-matched κ 0.993,0.993,0.993,PASS
N2,2024 mixed-definition κ 0.714,0.714,0.714,PASS
N3,2024 definition-matched κ 0.987,0.987,0.987,PASS
N4,prompt perturbation 'baseline_v1' mean κ 0.934,0.934,0.934,PASS
N5,prompt perturbation 'aparaphrase' mean κ 0.931,0.931,0.931,PASS
N6,prompt perturbation 'breorder' mean κ 0.927,0.927,0.927,PASS
N7,masld×year LRT χ²=23.56 (df=5),23.56,23.56,PASS
N8,masld×year LRT P=0.000264,0.000264,0.000264,PASS
N9,2023 definition-matched κ 0.984,0.984,0.984,PASS
N10,"2023 divergent stratum 3,204 records",3204.0,3204.0,PASS
N11,2023 divergent stratum 14.8% of cohort,14.8,14.8,PASS
N12,measured κ 0.9894 (585-report calibration),0.9894,0.9894,PASS
N13,naive observed HR 0.9533,0.9533,0.9533,PASS
N14,ST-T observed HR 1.0787,1.0787,1.0787,PASS
N15,160-record inter-annotator κ 0.985,0.985,0.985,PASS
N16,160-record raw agreement 99.4%,99.4,99.4,PASS
N17,description-based fatty-liver κ min 0.49,0.49,0.49,PASS
N18,description-based fatty-liver κ max 0.55,0.55,0.55,PASS
N19,cross-library PD κ min 0.997,0.997,0.997,PASS
N20,cross-library PD κ max 0.998,0.998,0.998,PASS
N21,2023 consistency-family κ z=−4.71,4.71,4.71,PASS
N22,2022 in-line enumeration z=9.07,9.07,9.07,PASS
N23,2022 ECG-prefix z=15.07,15.07,15.07,PASS
N24,decision-stratum Wilson lower 0.093,0.093,0.093,PASS
N25,decision-stratum Wilson upper 0.233,0.233,0.233,PASS
N26,naive production 95% CI lower 0.921,0.921,0.921,PASS
N27,naive production 95% CI upper 0.999,0.999,0.999,PASS
N28,naive production P 0.046,0.046,0.0455259760369179,PASS
N29,naive+FE P 0.056,0.056,0.0559690107574505,PASS
N30,adjudicated production P 0.052,0.052,0.052386070886215,PASS
N31,adjudicated+FE HR 0.963,0.963,0.963,PASS
N32,adjudicated+FE P 0.072,0.072,0.0722932952865473,PASS
N33,leave-2023-out adjudicated HR 0.957,0.957,0.957,PASS
N34,leave-2023-out adjudicated P 0.062,0.062,0.0625835427589697,PASS
N35,harmonized grid FE=0 P min 0.011,0.011,0.011,PASS
N36,harmonized grid FE=0 P max 0.035,0.035,0.035,PASS
N37,harmonized grid FE=1 P max 0.098,0.098,0.098,PASS
N53,harmonized grid FE=1 P min 0.040 (validation enum.),0.04,0.04,PASS
N38,ST-T P 0.008,0.008,0.0075763598231482,PASS
N39,ST-T year-FE P 0.007,0.007,0.0066549880966023,PASS
N40,"version ΔHR 0.002 (year-FE, 3dp)",0.002,0.0018,PASS
N41,ΔHR 90% CI lower 0.018,0.018,0.0178,PASS
N42,ΔHR 90% CI upper 0.019,0.019,0.0192,PASS
N43,four-domain self-repeat records 147,147.0,147.0,PASS
N44,below-gate ecg_other κ 0.683,0.683,0.683,PASS
N45,below-gate ecg_unreadable κ 0.666,0.666,0.666,PASS
N46,ECHO_PG κ range min 0.925,0.925,0.925,PASS
N47,decision-stratum proportion 0.15,0.15,0.15,PASS
N48,decision-stratum Wilson lower 9.3%,9.3,9.305985248417562,PASS
N49,decision-stratum Wilson upper 23.3%,23.3,23.28355966541218,PASS
N50,2023 consistency-family z 4.7 (1dp),4.7,4.71,PASS
N51,2022 in-line enumeration z 9.1 (1dp),9.1,9.07,PASS
N52,2022 ECG-prefix z 15.0 (1dp),15.0,15.07,PASS
